"id","name","slot","effect","build","rarity"
"46","王兽饲印","饲印","召唤物生命+25%","召唤军势","uncommon"
"47","群星粮袋","粮袋","召唤物击杀返还召唤能量","召唤军势","rare"
"48","指挥白手套","手套","每存在1个召唤物，本体减伤+3%","召唤军势","uncommon"
"49","回声军令","军令","召唤数量上限+1","召唤军势","legendary"
"50","驯灵铃铛","铃铛","召唤物首次攻击必暴击","召唤军势","epic"
"51","共鸣肩章","肩章","召唤物造成异常时你回蓝1%","召唤军势","common"
"52","后勤药罐","药罐","召唤物每8秒自愈一次","召唤军势","rare"
"53","先锋信号弹","信号弹","指定区域召唤物攻速+35%","召唤军势","epic"
"54","驻军旗钉","旗钉","召唤物驻守时获得嘲讽","召唤军势","uncommon"
"55","总督印章","印章","召唤物阵亡时爆炸造成范围伤害","召唤军势","legendary"
"56","反咒棱镜","棱镜","反弹20%所受诅咒伤害","诅咒反伤","rare"
"57","赦令铜钟","铜钟","每移除1层负面，回复3%生命","诅咒反伤","epic"
"58","痛觉转译器","转译器","受控期间攻击力不降反升10%","诅咒反伤","uncommon"
"59","黑盐护符","护符","中毒时获得50%毒抗并增伤","诅咒反伤","rare"
"60","逆罚手铐","手铐","被沉默后下次技能伤害+40%","诅咒反伤","epic"
"61","幽疫琥珀","琥珀","承受异常时散播微弱诅咒到近敌","诅咒反伤","common"
"62","离厄圣签","圣签","每60秒自动净化1次","诅咒反伤","rare"
"63","灾纹背章","背章","负面层数越高，减伤越高（上限20%）","诅咒反伤","common"
"64","厄运分流链","链饰","将15%异常时间转移给最近敌人","诅咒反伤","legendary"
"65","溯苦香灰","香灰","受击后3秒内异常命中率+25%","诅咒反伤","common"
"66","审判拒马钉","拒马钉","近战敌人触发反刺异常","诅咒反伤","rare"
"67","赌徒金指环","戒指","暴击率+8%，暴伤+30%","暴击赌徒","epic"
"68","连胜筹码","筹码","连续暴击可叠层增伤，断连清空","暴击赌徒","epic"
"69","破产保险券","券","暴击失败时返还50%消耗","暴击赌徒","common"
"70","黑桃命牌","命牌","开场随机获得攻速或暴率增益","暴击赌徒","rare"
"71","三七骰杯","骰杯","技能伤害在70%-130%间波动","暴击赌徒","common"
"72","幸运兔脚符","符","每30秒保证一次高额暴击","暴击赌徒","epic"
"73","赔率目镜","目镜","识破弱点后暴击伤害额外+20%","暴击赌徒","rare"
"74","胜率签筒","签筒","每次击杀提升1%暴率（可叠20）","暴击赌徒","rare"
"75","灰筹怀表","怀表","暴击后技能冷却缩减1秒","暴击赌徒","epic"
"76","赌桌绿布","披饰","残血时暴击率翻倍","暴击赌徒","uncommon"
"77","终局梭哈章","徽章","生命<25%时全伤+35%，承伤+15%","暴击赌徒","legendary"
"78","磐岩心核","核心","最大生命+18%","守护堡垒","uncommon"
"79","堡垒门楔","门楔","站立不动2秒后护甲+30%","守护堡垒","rare"
"80","禁卫肩甲扣","扣件","受击后反伤固定值","守护堡垒","uncommon"
"81","守誓重盾徽","徽","护盾量提升25%","守护堡垒","epic"
"82","铁卫膏药","膏药","每秒回复0.8%生命（脱战翻倍）","守护堡垒","rare"
"83","稳压呼吸阀","阀件","被控制时减伤+20%","守护堡垒","common"
"84","城垛号令笛","笛","嘲讽持续时间+40%","守护堡垒","rare"
"85","抗震足钉","足钉","击退/击飞抗性+50%","守护堡垒","common"
"86","冷锻胸针","胸针","首次破盾后立即回补30%护盾","守护堡垒","epic"
"87","守夜军灯","军灯","夜战/地下场景全抗+12%","守护堡垒","common"
"88","永固铆钉","铆钉","生命高于80%时伤害减免+15%","守护堡垒","epic"
"89","黄金币囊","钱囊","掉落金币+25%","财宝增益","rare"
"90","商会账本","账本","商店刷新价格-10%","财宝增益","rare"
"91","福运印蜡","印蜡","开箱稀有率+8%","财宝增益","epic"
"92","讨价眼镜","眼镜","卖出道具价格+15%","财宝增益","uncommon"
"93","远行储蓄罐","储蓄罐","每通关1房间给利息金币","财宝增益","rare"
"94","契税减免令","令状","合成费用-12%","财宝增益","rare"
"95","好运火柴","火柴","点燃环境物掉落率提升","财宝增益","common"
"96","行商香料包","香料","随机事件出现商人概率+20%","财宝增益","rare"
"97","幸运四叶章","徽章","小概率复制拾取道具","财宝增益","epic"
"98","典当回购券","券","可一次无损回购已卖出道具","财宝增益","uncommon"
"99","王都税票","税票","Boss房额外掉落1件蓝品以上道具","财宝增益","legendary"
"100","破甲引线","引线","对护甲目标伤害+18%","破阵压制","epic"
"101","迟滞铅片","铅片","你的减速效果持续+35%","破阵压制","rare"
"102","连锁信标","信标","控制命中后可额外牵连1名敌人","破阵压制","epic"
"103","硬化地契","地契","防御姿态下护盾收益+25%","破阵压制","rare"
"104","风纪羽轮","羽轮","位移后3秒内技能范围+20%","破阵压制","rare"
"105","节奏平衡环","环","普攻与技能交替命中可叠层增伤","破阵压制","epic"
"106","回收导体","导体","触发异常状态时返还法力2%","破阵压制","rare"
"107","弱点讲义","讲义","命中暴露弱点目标时伤害再+15%","破阵压制","rare"
"108","过载保险丝","保险丝","释放终结技后获得0.6秒霸体","破阵压制","epic"
"109","轮转罗盘","罗盘","每8秒在攻速/暴率/减伤中轮换1项增益","破阵压制","rare"
"110","灾变试管","试管","同一目标叠加两种异常时触发爆发伤害","破阵压制","epic"
"111","混沌签证","签证","每次战斗随机1条强力词缀","混沌终曲","legendary"
"112","无序棱核","棱核","技能附加随机元素","混沌终曲","rare"
"113","分形命轮","命轮","每第9次攻击必触发异变","混沌终曲","rare"
"114","狂喜面具","面具","伤害波动变大，峰值更高","混沌终曲","rare"
"115","双生悖论环","环","增伤与减伤同时提升","混沌终曲","rare"
"116","逆位塔罗页","塔罗","受击后随机获得增益或减益","混沌终曲","rare"
"117","异想注射器","注射器","每40秒随机重置1个技能CD","混沌终曲","epic"
"118","失真耳坠","耳坠","暴击时有概率触发幻象分身","混沌终曲","rare"
"119","焚梦票根","票根","击杀后随机掉落临时增益球","混沌终曲","rare"
"120","终曲导火帽","导火帽","Boss战中每90秒进入超载8秒","混沌终曲","epic"
"121","零界遗嘱","遗嘱","阵亡时触发全屏爆发并复活1次","混沌终曲","legendary"
"122","斗志绑带","饰带","连续命中5次后攻击+10%（4秒）","连击压制","rare"
"123","冷血护目镜","目镜","对生命高于80%的目标暴击率+12%","先手爆发","common"
"124","追猎脚扣","足扣","移动超过8米后下次普攻增伤30%","游走突袭","rare"
"125","旧王齿币","古币","击杀后获得1层全伤+1%（上限15）","滚雪球","rare"
"126","破势肩针","肩针","对霸体敌人伤害+20%","反硬直","rare"
"127","近身封条","封条","3米内敌人每多1名，减伤+4%","近战生存","common"
"128","回气鼻烟壶","壶","10秒未受击后每秒回复1.2%生命","续航恢复","uncommon"
"129","裂甲粉盒","粉盒","普攻第6击附加破甲（8秒）","破阵","epic"
"130","催征号牌","号牌","对被减速目标伤害+15%","控场追击","rare"
"131","反扑腰扣","腰扣","受击后2秒内普攻吸血+12%","反打","rare"
"132","旧誓铁片","铁片","护盾存在时暴击伤害+18%","护盾输出","uncommon"
"133","夜巡铜灯","铜灯","视野边缘敌人对你伤害-10%","稳定防守","rare"
"134","余震脚钉","脚钉","被击退后3秒内韧性+40%","抗控","uncommon"
"135","角斗士汗巾","汗巾","连续受击3次后获得15%减伤（5秒）","挨打成长","common"
"136","血路缝线","缝线","生命低于40%时移速+20%","残血拉扯","uncommon"
"137","战地针管","针管","每90秒自动回复25%生命","长线续航","common"
"138","赦免木符","木符","每场战斗首次致命伤改为保留1点生命","保命","legendary"
"139","老兵奖章","奖章","战斗时间每过20秒，攻击+3%（上限18）","持久战","common"
"140","钢心护符","护符","生命高于85%时减伤+12%","高血坦","uncommon"
"141","折冲甲扣","甲扣","护甲值每100点，普攻增伤+2%","防转攻","common"
"142","破限徽钉","徽钉","暴击后攻速+8%（可叠3层）","暴击连打","uncommon"
"143","逆鳞项圈","项圈","受到暴击后6秒内减伤+20%","反爆发","common"
"144","监军墨章","墨章","对精英单位伤害+14%","精英猎手","uncommon"
"145","断后绳结","绳结","背后受击伤害-18%","站位容错","common"
"146","残影布鞋","布鞋","闪避后2秒内无法被减速","机动","uncommon"
"147","硬弓弦环","弦环","每隔4秒，下次普攻穿透1名敌人","线性清怪","common"
"148","索敌目印","目印","对同一目标连续命中时伤害递增（最高+20%）","单体压制","uncommon"
"149","拦截令牌","令牌","对冲锋类敌人伤害+25%","反突进","common"
"150","石渠印鉴","印鉴","静止1.5秒后获得10%护盾","阵地战","uncommon"
"151","疾行符夹","符夹","战斗中每移动20米，下一次受击减半","跑位坦度","common"
"152","旧币骰筒","骰筒","击杀有15%概率掉落临时攻速球","经济战斗","uncommon"
"153","回购皮夹","皮夹","每场战斗首次购买价格-30%","资源运营","common"
"154","远征账绳","账绳","每通关1房间，最大生命+1%（上限20%）","发育","uncommon"
"155","盈亏天平","天平","持有金币越少，伤害越高（最高+18%）","贫装反补","common"
"156","储备粮徽","徽","未使用消耗品每多1个，减伤+2%","囤积收益","uncommon"
"157","抵押契纸","契纸","进入Boss房前金币清零并转为攻击（每100金+1%）","决战","legendary"
"158","巡回商签","商签","商店刷新免费1次/层","经济","uncommon"
"159","货栈封蜡","封蜡","战斗结算额外+12%金币","经济","common"
"160","裂纹存钱罐","存钱罐","受击时掉少量金币并回复等量生命","金血互换","uncommon"
"161","贪欲胸针","胸针","金币大于200时暴击率+10%","富装输出","common"
"162","讨债黑册","黑册","对欠血（生命低于50%）敌人伤害+16%","收割","uncommon"
"163","铁律口哨","口哨","开战前8秒减伤+15%","开局稳态","common"
"164","祈安香包","香包","每20秒清除1层负面状态","净化","uncommon"
"165","护航披结","披结","周围友军/召唤物每有1个，你减伤+3%","协同","common"
"166","统率袖章","袖章","你周围友军/召唤物伤害+6%","团队增益","uncommon"
"167","余烬火漆","火漆","击杀后3秒内移速+25%","清图节奏","common"
"168","震慑铜哨","铜哨","近战命中有10%概率造成短暂僵直","控制","uncommon"
"169","惩戒指节套","指节套","对被控制目标普攻增伤+22%","追控","common"
"170","破胆旗钉","旗钉","首次命中精英时使其伤害-12%（10秒）","压制精英","uncommon"
"171","军团水壶","水壶","每击杀10个敌人回复8%生命","长图续航","common"
"172","抗压绑腿","绑腿","同时被3名以上敌人盯上时减伤+18%","反围殴","uncommon"
"173","倒刺腕箍","腕箍","近战受击时反弹固定伤害","反伤","common"
"174","厚底战靴","战靴","击退抗性+60%","稳定站桩","uncommon"
"175","断筋夹板","夹板","对移动中的敌人伤害+15%","追击","common"
"176","伏击面罩","面罩","脱离战斗后首次命中必暴击","先手","uncommon"
"177","守门人挂锁","挂锁","受到来自正面的伤害-20%","站位防守","common"
"178","逆时沙囊","沙囊","生命每下降10%，攻速+3%","残血攻势","uncommon"
"179","顽石吊坠","吊坠","控制持续时间减少25%","解控","common"
"180","鹰眼刻尺","刻尺","远距离命中伤害+18%","远程压制","uncommon"
"181","止血绒布","绒布","受到持续伤害时，持续时间-30%","抗DOT","common"
"182","破军牌穗","牌穗","对满血敌人造成额外真实伤害","开局爆发","uncommon"
"183","斩获封签","封签","击杀后5秒内全伤+8%","连杀","common"
"184","稳态压片","压片","生命保持在60%-90%区间时伤害+12%","中血运营","uncommon"
"185","复仇黑带","黑带","死亡复活后20秒内攻击+25%","复活反扑","legendary"
"186","追命札记","札记","对同名敌人每次击杀永久+1%伤害（本局）","目标学习","uncommon"
"187","堡墙铆圈","铆圈","每拥有1层护盾，受暴击概率-3%","护盾防爆","common"
"188","巡猎绳标","绳标","标记目标后，对其普攻伤害+20%（8秒）","单点","uncommon"
"189","疲劳药贴","药贴","连续战斗第二场起，减伤+10%","马拉松","common"
"190","终局签封","签封","Boss生命低于30%时你全伤+18%","斩杀期","legendary"
