"source_name","source_rarity","source_base_price","source_limit","source_unlocked_by","source_tags","source_effects","tele_rarity","tele_category","tele_tags","remap_confidence","remap_reason"
"Barnacle(DLC)","Tier 3","80","1","Win a run with Creature","Curse;XP Gain","+35% stats gained from level upgrades; +1 curse when you level up","rare","economy_ops","economy","medium","signals=1; rule=economy_ops"
"Barricade","Tier 3","75","","","Armor;Stand Still;Knockback","+3 knockback; +8 armor while standing still; -5 % speed","rare","survival_counter","survival;utility","high","signals=4; rule=survival_counter"
"Bat","Tier 1","20","","","Life Steal","+2 % life steal; -2 harvesting","common","build_core","survival;economy","high","signals=3; rule=build_core"
"Bean Teacher","Tier 3","70","","","XP Gain","+50 % xp gain; -2 % life steal","rare","build_core","survival;economy","high","signals=3; rule=build_core"
"Beanie","Tier 1","20","","","Speed","+4 % speed; -6 range","common","rhythm_resource","utility","medium","signals=2; rule=rhythm_resource"
"Big Arms","Tier 4","105","","Win a run with Generalist","Melee Damage;Ranged Damage;Knockback","+12 melee damage; +6 ranged damage; +3 knockback; -3 % attack speed; -3 % speed","epic","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Black Belt","Tier 2","50","","","Melee Damage;XP Gain;Knockback","+25 % xp gain; +3 melee damage; +3 knockback; -8 luck","uncommon","build_core","output;economy;utility","high","signals=5; rule=build_core"
"Black Flag(DLC)","Tier 3","60","1","","Curse;More Enemies","+1 material when you kill a cursed enemy; +10% enemies; +10 % enemy health; +10 % enemy damage; +5 curse","rare","build_core","output;survival","high","signals=3; rule=build_core"
"Blindfold","Tier 2","45","","","Crit Chance;Dodge","+5 % crit chance; +5 % dodge; -15 range","uncommon","build_core","output;survival;utility","high","signals=5; rule=build_core"
"Blood Donation","Tier 3","50","","","Harvesting","+40 harvesting; you take 1 damage per second (does not give invulnerability time)","rare","build_core","output;survival;economy","high","signals=4; rule=build_core"
"Blood Leech","Tier 2","45","","","Life Steal;HP Regeneration","+2 % life steal; +2 hp regeneration; -3 harvesting","uncommon","build_core","survival;economy","high","signals=3; rule=build_core"
"Bloody Hand","Tier 4","110","1","","Life Steal","+10 % life steal; +2 % damage for every 1 % life steal you have; you take 1 damage per second (does not give invulnerability time)","epic","build_core","output;survival","high","signals=3; rule=build_core"
"Boiling Water","Tier 1","30","","","Elemental Damage","+2 elemental damage; -1 max hp","common","build_core","output;survival","high","signals=3; rule=build_core"
"Bone Dice(DLC)","Tier 2","30","2","","Damage","+50% chance to get +1 % damage when rerolling in the shop; +10% chance to get -1 max hp when rerolling in the shop","uncommon","build_core","output;survival;economy","high","signals=4; rule=build_core"
"Book","Tier 1","8","","","Engineering","+1 engineering","common","weapon_behavior","output;utility","medium","signals=2; rule=weapon_behavior"
"Bowler Hat","Tier 3","75","","Win a run with Entrepreneur","Luck;Harvesting","+15 luck; +18 harvesting; -5 % attack speed; -3 % crit chance","rare","build_core","output;economy;utility","high","signals=4; rule=build_core"
"Boxing Glove","Tier 1","18","","","Melee Damage;Knockback","+1 melee damage; +3 knockback","common","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Broken Mouth","Tier 1","25","","","Max HP","+5 max hp; -1 hp regeneration","common","survival_counter","survival","medium","signals=2; rule=survival_counter"
"Butterfly","Tier 1","30","","","Life Steal","+2 % life steal; -1 elemental damage","common","build_core","output;survival","high","signals=3; rule=build_core"
"Cake","Tier 1","15","","","Max HP","+3 max hp; -1 % damage","common","build_core","output;survival","high","signals=3; rule=build_core"
"Campfire","Tier 2","40","","","Elemental Damage;HP Regeneration","+2 elemental damage; +2 hp regeneration; -2 % speed","uncommon","build_core","output;survival;utility","high","signals=5; rule=build_core"
"Candle","Tier 3","65","1","","Elemental Damage;HP Regeneration;Less Enemies","+4 elemental damage; +1 hp regeneration; -10% enemies; -5 % damage","rare","build_core","output;survival","high","signals=4; rule=build_core"
"Candy Bag","Tier 3","70","1","Win a run without locking any items in the shop","","each wave grants 8 points randomly split between your primary stats; each wave, 10% chance to spawn an additional elite","rare","rhythm_resource","utility","medium","signals=1; rule=rhythm_resource"
"Cape","Tier 4","110","","","Life Steal;Dodge","+5 % life steal; +20 % dodge; -2 melee damage; -2 ranged damage; -2 elemental damage","epic","build_core","output;survival;utility","high","signals=4; rule=build_core"
"Cauldron(DLC)","Tier 2","35","1","Win a run with Druid","Pickup","+50% pickup range; +20 % damage for 2 seconds after picking up a consumable; -2 hp regeneration","uncommon","build_core","output;survival;utility","high","signals=4; rule=build_core"
"Celery Tea","Tier 2","35","","Win a run with Baby","XP Gain","+5 % xp gain at the end of a wave; +50 % xp gain during the next wave; +100 % enemy health during the next wave","uncommon","build_core","survival;economy","high","signals=3; rule=build_core"
"Chameleon","Tier 3","70","","","Dodge;Stand Still","+3 % dodge; +20 % dodge while standing still; -4 % damage","rare","build_core","output;survival;utility","high","signals=5; rule=build_core"
"Charcoal","Tier 1","20","","","Elemental Damage;Melee Damage","+1 elemental damage; +2 melee damage; -2 harvesting","common","build_core","output;economy","high","signals=3; rule=build_core"
"Claw Tree","Tier 1","20","","","Melee Damage;Crit Chance","+1 melee damage; +3 % crit chance; -1 max hp","common","build_core","output;survival","high","signals=3; rule=build_core"
"Clockwork Wasp","Tier 2","45","","","Structure;Speed","+10 % structure attack speed; +5 % speed","uncommon","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Clover","Tier 3","65","","","Luck;Dodge","+20 luck; +6 % dodge; -2 % life steal","rare","build_core","survival;economy","high","signals=4; rule=build_core"
"Coffee","Tier 1","20","","","Attack Speed","+10 % attack speed; -2 % damage","common","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Cog","Tier 2","35","","","Engineering;Knockback","+4 engineering; +1 knockback; -4 % damage","uncommon","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Coil","Tier 3","70","3","","Damage;Knockback","+5 knockback; +1 % damage for every 1 knockback you have","rare","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Community Support","Tier 3","75","1","Win a run with Streamer","Attack Speed","+1 % attack speed for every current living enemy; -2 armor","rare","build_core","output;survival;utility","high","signals=4; rule=build_core"
"Compass","Tier 2","40","","Win a run with Explorer","Speed;Engineering","+5 % speed; +3 engineering; -3 % crit chance","uncommon","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Coral(DLC)","Tier 2","40","","","HP Regeneration;Stand Still","+10 hp regeneration while standing still; -10 range","uncommon","survival_counter","survival;utility","high","signals=4; rule=survival_counter"
"Corrupted Shard(DLC)","Tier 1","12","","","Damage;Curse","+3 % damage; +1 curse","common","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Coupon","Tier 1","15","5","","Economy","-5 % items price","common","economy_ops","economy","medium","signals=2; rule=economy_ops"
"Crown","Tier 3","70","1","","Harvesting","harvesting increases by an additional 8% at the end of a wave","rare","economy_ops","economy","medium","signals=2; rule=economy_ops"
"Crystal(DLC)","Tier 3","65","","","Attack Speed","+5 % attack speed; +1 % attack speed every 1 second until the end of the wave; bonus is lost when taking damage; -2 engineering","rare","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Cute Monkey","Tier 1","25","13","","Pickup","+8% chance to heal 1 hp when picking up a material; -1 ranged damage","common","build_core","output;survival;utility","high","signals=4; rule=build_core"
"Cyberball","Tier 2","30","","","Luck","25% chance to deal 1 (25%) damage to a random enemy when an enemy dies","uncommon","build_core","output;economy","medium","signals=2; rule=build_core"
"Cyclops Worm","Tier 2","45","","","Damage","+12 % damage; -12 range","uncommon","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Dangerous Bunny","Tier 2","30","3","","Economy","+1 free reroll in the shop","uncommon","economy_ops","economy","medium","signals=2; rule=economy_ops"
"Decomposing Flesh","Tier 2","30","","Win a run with Vampire","Life Steal","+1 % life steal when you level up; -1 max hp when you level up","uncommon","survival_counter","survival","medium","signals=2; rule=survival_counter"
"Defective Steroids","Tier 1","20","","","Max HP;Melee Damage","+2 max hp; +2 melee damage; -3 % attack speed","common","build_core","output;survival;utility","high","signals=5; rule=build_core"
"Diploma","Tier 4","90","","","Engineering;XP Gain","+10 engineering; +50 % xp gain; -3 max hp","epic","build_core","output;survival;economy;utility","high","signals=5; rule=build_core"
"Duct Tape","Tier 1","20","","","Armor;Engineering","+1 armor; +1 engineering; -2 max hp","common","build_core","output;survival;utility","high","signals=4; rule=build_core"
"Dynamite","Tier 1","20","","","Explosive","+15 % explosion damage","common","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Energy Bracelet","Tier 2","55","","","Crit Chance;Elemental Damage","+4 % crit chance; +2 elemental damage; -2 ranged damage","uncommon","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Esty's Couch","Tier 4","100","1","","HP Regeneration;Max HP","+5 max hp; +2 hp regeneration for every permanent -1 % speed you have; -20 % speed","epic","survival_counter","survival;utility","high","signals=3; rule=survival_counter"
"Exoskeleton","Tier 4","90","","","Armor;Crit Chance;Engineering;Speed","+3 armor; +5 % crit chance; +5 engineering; +5 % speed; -2 hp regeneration; -2 % life steal","epic","build_core","output;survival;utility","high","signals=6; rule=build_core"
"Explosive Shells","Tier 4","100","","Win a run with Artificer","Explosive","+60 % explosion damage; +15 % explosion size; -15 % damage","epic","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Explosive Turret","Tier 4","80","","","Engineering;Structure","spawns a turret that shoots explosive bullets dealing 25 (+150%) damage in an area","epic","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Extra Stomach","Tier 4","100","1","","Max HP;Luck","+1 max hp when picking up a consumable while at maximum health (max +8 per wave)","epic","build_core","survival;economy;utility","high","signals=4; rule=build_core"
"Eyepatch(DLC)","Tier 2","55","","Win a run with Buccaneer","Crit Chance;Ranged Damage","projectiles get +1 piercing on critical hit; +3 % crit chance; -10% accuracy","uncommon","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Eyes Surgery","Tier 2","60","2","","Elemental Damage","burning activates 20% faster; +1 elemental damage; -10 range","uncommon","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Fairy","Tier 3","85","1","Win a run with Renegade","HP Regeneration","+1 hp regeneration for every different tier i item you have; -3 hp regeneration for every different tier iv item you have","rare","survival_counter","survival","medium","signals=2; rule=survival_counter"
"Feather(DLC)","Tier 1","18","","","Ranged Damage;Dodge","+1 ranged damage; +3 % dodge; -3 % xp gain","common","build_core","output;survival;economy;utility","high","signals=6; rule=build_core"
"Fertilizer","Tier 1","15","","","Harvesting","+8 harvesting; -1 melee damage","common","build_core","output;economy","high","signals=3; rule=build_core"
"Fin","Tier 3","65","","Win a run with Speedy","Speed;Life Steal","+10 % speed; +3 % life steal; -8 luck","rare","build_core","survival;economy;utility","high","signals=5; rule=build_core"
"Fish Hook(DLC)","Tier 2","35","3","","Curse;Lock (Item Tag)","locked items and weapons have a 20% chance to become cursed when leaving the shop; +1 curse","uncommon","build_core","output;economy","medium","signals=2; rule=build_core"
"Focus","Tier 4","110","","Win a run with One Armed","Damage","+30 % damage; -3 % attack speed for every different weapon you have","epic","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Fresh Meat","Tier 1","25","","","Life Steal","+2 % life steal; -1 hp regeneration","common","survival_counter","survival","medium","signals=2; rule=survival_counter"
"Fried Rice","Tier 3","60","1","","HP Regeneration","+1 hp regeneration for every currently burning enemy","rare","build_core","output;survival","high","signals=3; rule=build_core"
"Frozen Heart","Tier 3","90","1","","Elemental Damage;Crit Chance","+8 elemental damage; +5 % crit chance; weapon damage additionally scales with 10% elemental damage; burning activates 100% slower","rare","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Fruit Basket","Tier 2","45","4","Collect 100 fruits while at maximum health","Consumable","enemies have a higher chance of dropping fruits; -3 hp regeneration","uncommon","survival_counter","survival;utility","medium","signals=2; rule=survival_counter"
"Fuel Tank","Tier 2","45","","","Elemental Damage","+4 elemental damage; -1 melee damage; -1 ranged damage","uncommon","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Gambling Token","Tier 2","50","","","Dodge","+8 % dodge; -1 armor","uncommon","survival_counter","survival","medium","signals=2; rule=survival_counter"
"Garden","Tier 2","50","","","Consumable;Structure","spawns a garden that creates a fruit every 15 seconds","uncommon","rhythm_resource","utility","medium","signals=2; rule=rhythm_resource"
"Gentle Alien","Tier 1","30","10","","Max HP;Damage;More Enemies","+2 max hp; +5 % damage; +5% enemies","common","build_core","output;survival","high","signals=4; rule=build_core"
"Ghost Outfit","Tier 3","80","1","Reach 70% Dodge","Dodge","dodge is capped at 70%; +10% dodge; -5% speed; -3 armor","rare","survival_counter","survival;utility","high","signals=3; rule=survival_counter"
"Giant Belt","Tier 4","110","1","Win a run with Jack","Crit Chance","critical hits deal 10% of an enemy’s current health as bonus damage (1% for bosses and elites)","epic","build_core","output;survival","high","signals=3; rule=build_core"
"Glass Cannon","Tier 3","75","","","Damage","+25 % damage; -3 armor","rare","build_core","output;survival","high","signals=3; rule=build_core"
"Glasses","Tier 1","20","","","Range","+20 range","common","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Gnome","Tier 4","100","","Win a run with Bull","Melee Damage;Elemental Damage","+10 melee damage; +10 elemental damage; -20 range; -20% pickup range","epic","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Goat Skull","Tier 1","25","","","Melee Damage","+3 melee damage; -2 % crit chance","common","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Gobbler's Hat","Tier 4","130","1","Kill the Gobbler 5 times","","+70% materials dropped; -15% speed; -10% dodge","epic","build_core","survival;economy;utility","high","signals=3; rule=build_core"
"Goblet(DLC)","Tier 3","70","3","","","+15% chance to heal 1 hp when killing an enemy; -3 hp regeneration","rare","survival_counter","survival","medium","signals=1; rule=survival_counter"
"Goldfish(DLC)","Tier 3","23","","","","items will be 1 tier higher after the next reroll","rare","economy_ops","economy","medium","signals=1; rule=economy_ops"
"Greek Fire","Tier 4","100","1","","Elemental Damage","burning deals an additional 10% of current enemy hp as damage (1% for bosses and elites)","epic","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Grind's Magical Leaf","Tier 4","110","","","Max HP;HP Regeneration;Life Steal","+3 max hp at the end of a wave; +1 hp regeneration at the end of a wave; +1 % life steal at the end of a wave","epic","survival_counter","survival","medium","signals=2; rule=survival_counter"
"Gummy Berserker","Tier 1","25","","","Attack Speed;Range","+5 % attack speed; +25 range; -1 armor","common","build_core","output;survival;utility","high","signals=5; rule=build_core"
"Handcuffs","Tier 3","80","1","","Melee Damage;Ranged Damage;Elemental Damage","+8 melee damage; +8 ranged damage; +8 elemental damage; your max hp is capped at its current value","rare","build_core","output;survival;utility","high","signals=4; rule=build_core"
"Head Injury","Tier 1","25","","","Damage","+6 % damage; -8 range","common","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Heavy Bullets","Tier 4","100","","","Ranged Damage;Damage;Range","+5 ranged damage; +10 % damage; +10 range; -5 % attack speed; -5 % crit chance","epic","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Hedgehog","Tier 1","30","","","Melee Damage;Ranged Damage","+2 melee damage; +1 ranged damage; -1 hp regeneration","common","build_core","output;survival;utility","high","signals=4; rule=build_core"
"Helmet","Tier 1","15","","","Armor","+1 armor; -2 % speed","common","survival_counter","survival;utility","high","signals=3; rule=survival_counter"
"Honey","Tier 3","70","","","Ranged Damage;Explosive","+3 ranged damage; +10 % explosion damage; +5 % explosion size; -3 % speed; -3 % dodge","rare","build_core","output;survival;utility","high","signals=4; rule=build_core"
"Hourglass","Tier 4","100","1","During the last 5 seconds of a wave after wave 2, press 'Return to Main Menu'. Then press 'Resume' to try the wave again.","","turns back time, decreasing the current wave count by 1; start the next wave with 1 hp","epic","build_core","utility","low","signals=0; rule=build_core"
"Hunting Trophy","Tier 3","55","3","Win a run with Crazy","Crit Chance","33% chance to gain 1 material when killing an enemy with a critical hit","rare","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Ice Cube","Tier 2","50","1","","Elemental Damage","enemies take 10% more damage for 3 seconds when first hit by elemental damage","uncommon","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Improved Tools","Tier 3","70","1","Win a run with Cyborg","Structure;Attack Speed","+10 % attack speed; increases the attack speed of your structures by 0% (50%)","rare","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Incendiary Turret","Tier 2","40","","","Engineering;Structure","spawns a turret that shoots flames dealing 8x5 (+33%) burning damage","uncommon","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Injection","Tier 1","20","","","Damage","+7 % damage; -2 max hp","common","build_core","output;survival","high","signals=3; rule=build_core"
"Insanity","Tier 1","20","","","Crit Chance","+6 % crit chance; -3 % damage","common","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Jelly","Tier 1","15","","Win a run with Vagabond","Max HP","+1 max hp for every different weapon you have","common","build_core","output;survival","high","signals=3; rule=build_core"
"Jerky(DLC)","Tier 2","50","1","","Consumable","+3 hp recovered from consumables; consumables heal you over 4 seconds instead of instantly","uncommon","survival_counter","survival;utility","high","signals=3; rule=survival_counter"
"Jet Pack","Tier 4","100","","","Speed;Dodge","+15 % speed; +10 % dodge; -5 max hp; -1 armor","epic","survival_counter","survival;utility","high","signals=4; rule=survival_counter"
"Knot(DLC)","Tier 3","80","1","","Damage;Max HP","+15 % damage; +15 max hp; weapons can no longer be upgraded or recycled","rare","build_core","output;survival","high","signals=4; rule=build_core"
"Kraken's Eye(DLC)","Tier 4","110","1","","Explosive;Max HP;Curse","you have a 50% chance to explode for 10 (+500%) damage when you get hit; +10 max hp; +10 curse","epic","build_core","output;survival","high","signals=4; rule=build_core"
"Landmines","Tier 1","15","","","Engineering;Explosive;Structure","a landmine spawns every 12 seconds dealing 10 (+100%) damage in an area","common","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Lantern(DLC)","Tier 4","100","1","","Damage;Range;Knockback","+10 % damage; +50 range; +15 knockback; knocks nearby enemies back every 3 seconds","epic","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Laser Turret","Tier 3","65","","","Engineering;Structure","spawns a turret that shoots piercing bullets dealing 20 (+125%) damage","rare","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Leather Vest","Tier 2","45","","","Armor;Dodge","+2 armor; +6 % dodge; -3 max hp","uncommon","survival_counter","survival","medium","signals=2; rule=survival_counter"
"Lemonade","Tier 1","15","","","Consumable","+1 hp recovered from consumables","common","rhythm_resource","utility","medium","signals=2; rule=rhythm_resource"
"Lens","Tier 1","20","","","Ranged Damage","+1 ranged damage; -5 range","common","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Lighthouse(DLC)","Tier 3","80","1","Win a run with Builder","Engineering","+20 engineering; -1 engineering for every 1 structure you have","rare","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Little Frog","Tier 2","45","","","Harvesting;Pickup","+20% pickup range; +10 harvesting; -3 % dodge","uncommon","build_core","survival;economy;utility","high","signals=5; rule=build_core"
"Little Muscley Dude","Tier 2","50","","","Melee Damage;Max HP","+3 melee damage; +5 max hp; -15 range","uncommon","build_core","output;survival;utility","high","signals=5; rule=build_core"
"Lost Duck","Tier 1","25","","","Luck","+8 luck; -1 elemental damage","common","build_core","output;economy","high","signals=3; rule=build_core"
"Lucky Charm","Tier 3","75","","Win a run with Lucky","Luck","+30 luck; -2 melee damage; -1 ranged damage","rare","build_core","output;economy;utility","high","signals=4; rule=build_core"
"Lucky Coin","Tier 4","105","1","","Crit Chance;Luck","+2 luck for every 1 % crit chance you have; -2 armor","epic","build_core","output;survival;economy","high","signals=5; rule=build_core"
"Lumberjack Shirt","Tier 1","15","1","","Exploration","trees die in one hit","common","rhythm_resource","utility","medium","signals=2; rule=rhythm_resource"
"Lure","Tier 2","34","","Win a run with Fisherman","HP Regeneration","+2 hp regeneration; 2 additional loot aliens appear during the next wave","uncommon","survival_counter","survival","medium","signals=2; rule=survival_counter"
"Mammoth","Tier 4","110","","","Melee Damage;HP Regeneration;Knockback","+20 melee damage; +5 hp regeneration; +5 knockback; -8 % damage; -3 % speed","epic","build_core","output;survival;utility","high","signals=5; rule=build_core"
"Mastery","Tier 2","55","","","Melee Damage","+6 melee damage; -3 ranged damage","uncommon","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Medal","Tier 2","55","","","Max HP;Damage;Armor;Speed","+3 max hp; +3 % damage; +1 armor; +3 % speed; -4 % crit chance","uncommon","build_core","output;survival;utility","high","signals=6; rule=build_core"
"Medical Turret","Tier 2","40","","","Engineering;Structure","spawns a medical turret that shoots bullets healing 3 (+5%) hp","uncommon","build_core","output;survival;utility","high","signals=5; rule=build_core"
"Medikit","Tier 4","95","","Win a run with Doctor","HP Regeneration","+10 hp regeneration; +2 hp regeneration every 5 seconds until the end of the wave; -10 luck","epic","build_core","survival;economy","high","signals=3; rule=build_core"
"Metal Detector","Tier 2","40","20","","Luck;Engineering;Pickup;Economy","+5% chance to double the value of picked up materials; +6 luck; +2 engineering; -5 % damage","uncommon","build_core","output;economy;utility","high","signals=5; rule=build_core"
"Metal Plate","Tier 2","40","","","Armor","+2 armor; -3 % damage","uncommon","build_core","output;survival","high","signals=3; rule=build_core"
"Mirror(DLC)","Tier 3","60","","","","duplicates the next item you get from the shop (item limits can't be exceeded)","rare","economy_ops","economy","medium","signals=1; rule=economy_ops"
"Missile","Tier 2","45","","","Damage","+10 % damage; -4 % attack speed","uncommon","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Mouse","Tier 3","55","5","","Life Steal;More Enemies","+5 % life steal; +10% enemies; -5 harvesting","rare","build_core","output;survival;economy","high","signals=4; rule=build_core"
"Mushroom","Tier 1","25","","","HP Regeneration","+3 hp regeneration; -2 luck","common","build_core","survival;economy","high","signals=3; rule=build_core"
"Mutation","Tier 1","25","","","Ranged Damage;Elemental Damage","+1 ranged damage; +1 elemental damage; -3 knockback","common","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Nail","Tier 3","65","1","","Engineering","+5 engineering; weapon damage additionally scales with 20% engineering; -2 ranged damage","rare","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Night Goggles","Tier 4","95","","Win a run with Ranger","Crit Chance;Range","+15 % crit chance; +50 range; -3 max hp; -1 armor","epic","build_core","output;survival;utility","high","signals=5; rule=build_core"
"Octopus","Tier 4","105","","Win a run with Mutant","Max HP;Life Steal;HP Regeneration","+12 max hp; +5 hp regeneration; +3 % life steal; -8 % crit chance","epic","build_core","output;survival","high","signals=3; rule=build_core"
"Padding","Tier 2","45","1","Win a run with Saver","Max HP","+3 max hp; +1 max hp for every 80 materials you have","uncommon","build_core","survival;economy","high","signals=3; rule=build_core"
"Panda","Tier 4","100","","Win a run with Pacifist","Max HP;Luck","+12 max hp; +25 luck; -5 % damage","epic","build_core","output;survival;economy","high","signals=5; rule=build_core"
"Peaceful Bee","Tier 1","18","","","Dodge;Harvesting","+4 % dodge; +4 harvesting; -1 melee damage; -1 ranged damage","common","build_core","output;survival;economy;utility","high","signals=6; rule=build_core"
"Peacock","Tier 3","50","","","XP Gain","+25 % xp gain; +100 % xp gain during the next wave; +50 % enemy damage during the next wave","rare","build_core","output;economy","high","signals=3; rule=build_core"
"Pearl(DLC)","Tier 2","60","20","Win a run with Curious","Luck","+1 % damage for every permanent 10 luck you have; +3% chance of finding an extra pearl in a crate","uncommon","build_core","output;economy","high","signals=3; rule=build_core"
"Pencil","Tier 1","15","","","Engineering","+2 engineering; -1 % attack speed; -1 % crit chance","common","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Penguin(DLC)","Tier 1","25","3","","HP Regeneration","+1 hp regeneration; +1 hp regeneration until the end of the wave when picking up a consumable while at maximum health","common","survival_counter","survival;utility","high","signals=3; rule=survival_counter"
